Ref_Date,GEO,FINANCE,AGE,FAMILY,CHAR,Value
2005,Canada,Total debts,35 to 44 years,All family units,Dollars,312596
2012,Canada,Total debts,35 to 44 years,All family units,Dollars,433036
1999,Canada,Total debts,45 to 54 years,All family units,Dollars,150229
2005,Canada,Total debts,45 to 54 years,All family units,Dollars,224265
2012,Canada,Total debts,45 to 54 years,All family units,Dollars,322372
1999,Canada,Total debts,55 to 64 years,All family units,Dollars,53403
2005,Canada,Total debts,55 to 64 years,All family units,Dollars,106271
2012,Canada,Total debts,55 to 64 years,All family units,Dollars,202177
1999,Canada,Total debts,65 years and older,All family units,Dollars,19593
2005,Canada,Total debts,65 years and older,All family units,Dollars,30711
2012,Canada,Total debts,65 years and older,All family units,Dollars,79160
1999,Canada,Mortgages,All ages,All family units,Dollars,453557
2005,Canada,Mortgages,All ages,All family units,Dollars,650751
2012,Canada,Mortgages,All ages,All family units,Dollars,1029811
1999,Canada,Mortgages,Under 65 years,All family units,Dollars,440188
2005,Canada,Mortgages,Under 65 years,All family units,Dollars,633161
2012,Canada,Mortgages,Under 65 years,All family units,Dollars,983962
1999,Canada,Mortgages,Under 35 years,All family units,Dollars,119077
2005,Canada,Mortgages,Under 35 years,All family units,Dollars,140844
2012,Canada,Mortgages,Under 35 years,All family units,Dollars,240181
1999,Canada,Mortgages,35 to 44 years,All family units,Dollars,167321
2005,Canada,Mortgages,35 to 44 years,All family units,Dollars,256278
2012,Canada,Mortgages,35 to 44 years,All family units,Dollars,361345
1999,Canada,Mortgages,45 to 54 years,All family units,Dollars,114395
2005,Canada,Mortgages,45 to 54 years,All family units,Dollars,162117
2012,Canada,Mortgages,45 to 54 years,All family units,Dollars,243574
1999,Canada,Mortgages,55 to 64 years,All family units,Dollars,39395
2005,Canada,Mortgages,55 to 64 years,All family units,Dollars,73922
2012,Canada,Mortgages,55 to 64 years,All family units,Dollars,138863
1999,Canada,Mortgages,65 years and older,All family units,Dollars,13369
2005,Canada,Mortgages,65 years and older,All family units,Dollars,17589
2012,Canada,Mortgages,65 years and older,All family units,Dollars,45849
1999,Canada,Principal residence,All ages,All family units,Dollars,388119
2005,Canada,Principal residence,All ages,All family units,Dollars,552849
2012,Canada,Principal residence,All ages,All family units,Dollars,821010
1999,Canada,Principal residence,Under 65 years,All family units,Dollars,378479
2005,Canada,Principal residence,Under 65 years,All family units,Dollars,540884
2012,Canada,Principal residence,Under 65 years,All family units,Dollars,789278
1999,Canada,Principal residence,Under 35 years,All family units,Dollars,109342
2005,Canada,Principal residence,Under 35 years,All family units,Dollars,130059
2012,Canada,Principal residence,Under 35 years,All family units,Dollars,202629
1999,Canada,Principal residence,35 to 44 years,All family units,Dollars,149113
2005,Canada,Principal residence,35 to 44 years,All family units,Dollars,221969
2012,Canada,Principal residence,35 to 44 years,All family units,Dollars,287701
1999,Canada,Principal residence,45 to 54 years,All family units,Dollars,91213
2005,Canada,Principal residence,45 to 54 years,All family units,Dollars,136094
2012,Canada,Principal residence,45 to 54 years,All family units,Dollars,195479
1999,Canada,Principal residence,55 to 64 years,All family units,Dollars,28812
2005,Canada,Principal residence,55 to 64 years,All family units,Dollars,52762
2012,Canada,Principal residence,55 to 64 years,All family units,Dollars,103470
1999,Canada,Principal residence,65 years and older,All family units,Dollars,9640
2005,Canada,Principal residence,65 years and older,All family units,Dollars,11966
2012,Canada,Principal residence,65 years and older,All family units,Dollars,31732
1999,Canada,Other real estate,All ages,All family units,Dollars,65438
2005,Canada,Other real estate,All ages,All family units,Dollars,97901
2012,Canada,Other real estate,All ages,All family units,Dollars,208801
1999,Canada,Other real estate,Under 65 years,All family units,Dollars,61709
2005,Canada,Other real estate,Under 65 years,All family units,Dollars,92278
2012,Canada,Other real estate,Under 65 years,All family units,Dollars,194684
1999,Canada,Other real estate,Under 35 years,All family units,Dollars,9735
2005,Canada,Other real estate,Under 35 years,All family units,Dollars,10786
2012,Canada,Other real estate,Under 35 years,All family units,Dollars,37552
1999,Canada,Other real estate,35 to 44 years,All family units,Dollars,18208
2005,Canada,Other real estate,35 to 44 years,All family units,Dollars,34309
2012,Canada,Other real estate,35 to 44 years,All family units,Dollars,73644
1999,Canada,Other real estate,45 to 54 years,All family units,Dollars,23182
2005,Canada,Other real estate,45 to 54 years,All family units,Dollars,26023
2012,Canada,Other real estate,45 to 54 years,All family units,Dollars,48095
1999,Canada,Other real estate,55 to 64 years,All family units,Dollars,10584
2005,Canada,Other real estate,55 to 64 years,All family units,Dollars,21160
2012,Canada,Other real estate,55 to 64 years,All family units,Dollars,35393
1999,Canada,Other real estate,65 years and older,All family units,Dollars,3729
2005,Canada,Other real estate,65 years and older,All family units,Dollars,F
2012,Canada,Other real estate,65 years and older,All family units,Dollars,14117
1999,Canada,Line of credit,All ages,All family units,Dollars,33220
2005,Canada,Line of credit,All ages,All family units,Dollars,77492
2012,Canada,Line of credit,All ages,All family units,Dollars,144946
1999,Canada,Line of credit,Under 65 years,All family units,Dollars,31022
2005,Canada,Line of credit,Under 65 years,All family units,Dollars,72415
2012,Canada,Line of credit,Under 65 years,All family units,Dollars,124418
1999,Canada,Line of credit,Under 35 years,All family units,Dollars,4790
2005,Canada,Line of credit,Under 35 years,All family units,Dollars,11942
2012,Canada,Line of credit,Under 35 years,All family units,Dollars,16159
1999,Canada,Line of credit,35 to 44 years,All family units,Dollars,9305
2005,Canada,Line of credit,35 to 44 years,All family units,Dollars,19528
2012,Canada,Line of credit,35 to 44 years,All family units,Dollars,34114
1999,Canada,Line of credit,45 to 54 years,All family units,Dollars,12324
2005,Canada,Line of credit,45 to 54 years,All family units,Dollars,26108
2012,Canada,Line of credit,45 to 54 years,All family units,Dollars,41717
1999,Canada,Line of credit,55 to 64 years,All family units,Dollars,4604
2005,Canada,Line of credit,55 to 64 years,All family units,Dollars,14837
2012,Canada,Line of credit,55 to 64 years,All family units,Dollars,32429
1999,Canada,Line of credit,65 years and older,All family units,Dollars,2198
2005,Canada,Line of credit,65 years and older,All family units,Dollars,5076
2012,Canada,Line of credit,65 years and older,All family units,Dollars,20528
1999,Canada,Credit card and installment debt,All ages,All family units,Dollars,18507
2005,Canada,Credit card and installment debt,All ages,All family units,Dollars,29316
2012,Canada,Credit card and installment debt,All ages,All family units,Dollars,35321
1999,Canada,Credit card and installment debt,Under 65 years,All family units,Dollars,17524
2005,Canada,Credit card and installment debt,Under 65 years,All family units,Dollars,26302
2012,Canada,Credit card and installment debt,Under 65 years,All family units,Dollars,31994
1999,Canada,Credit card and installment debt,Under 35 years,All family units,Dollars,4988
2005,Canada,Credit card and installment debt,Under 35 years,All family units,Dollars,5244
2012,Canada,Credit card and installment debt,Under 35 years,All family units,Dollars,7009
1999,Canada,Credit card and installment debt,35 to 44 years,All family units,Dollars,6568
2005,Canada,Credit card and installment debt,35 to 44 years,All family units,Dollars,9234
2012,Canada,Credit card and installment debt,35 to 44 years,All family units,Dollars,7517
1999,Canada,Credit card and installment debt,45 to 54 years,All family units,Dollars,4028
2005,Canada,Credit card and installment debt,45 to 54 years,All family units,Dollars,7322
2012,Canada,Credit card and installment debt,45 to 54 years,All family units,Dollars,9452
1999,Canada,Credit card and installment debt,55 to 64 years,All family units,Dollars,1939
2005,Canada,Credit card and installment debt,55 to 64 years,All family units,Dollars,4502
2012,Canada,Credit card and installment debt,55 to 64 years,All family units,Dollars,8016
1999,Canada,Credit card and installment debt,65 years and older,All family units,Dollars,983
2005,Canada,Credit card and installment debt,65 years and older,All family units,Dollars,F
2012,Canada,Credit card and installment debt,65 years and older,All family units,Dollars,3327
1999,Canada,Student loans,All ages,All family units,Dollars,19623
2005,Canada,Student loans,All ages,All family units,Dollars,22718
2012,Canada,Student loans,All ages,All family units,Dollars,28272
1999,Canada,Student loans,Under 65 years,All family units,Dollars,19303
2005,Canada,Student loans,Under 65 years,All family units,Dollars,22561
2012,Canada,Student loans,Under 65 years,All family units,Dollars,27992
1999,Canada,Student loans,Under 35 years,All family units,Dollars,10949
2005,Canada,Student loans,Under 35 years,All family units,Dollars,12775
2012,Canada,Student loans,Under 35 years,All family units,Dollars,15815
1999,Canada,Student loans,35 to 44 years,All family units,Dollars,3413
2005,Canada,Student loans,35 to 44 years,All family units,Dollars,4004
2012,Canada,Student loans,35 to 44 years,All family units,Dollars,4608
1999,Canada,Student loans,45 to 54 years,All family units,Dollars,4082
2005,Canada,Student loans,45 to 54 years,All family units,Dollars,3817
2012,Canada,Student loans,45 to 54 years,All family units,Dollars,4458
1999,Canada,Student loans,55 to 64 years,All family units,Dollars,860
2005,Canada,Student loans,55 to 64 years,All family units,Dollars,1964
2012,Canada,Student loans,55 to 64 years,All family units,Dollars,3111
1999,Canada,Student loans,65 years and older,All family units,Dollars,F
2005,Canada,Student loans,65 years and older,All family units,Dollars,F
2012,Canada,Student loans,65 years and older,All family units,Dollars,F
1999,Canada,Vehicle loans,All ages,All family units,Dollars,37093
2005,Canada,Vehicle loans,All ages,All family units,Dollars,52439
2012,Canada,Vehicle loans,All ages,All family units,Dollars,75814
1999,Canada,Vehicle loans,Under 65 years,All family units,Dollars,35435
2005,Canada,Vehicle loans,Under 65 years,All family units,Dollars,49319
2012,Canada,Vehicle loans,Under 65 years,All family units,Dollars,69039
1999,Canada,Vehicle loans,Under 35 years,All family units,Dollars,11225
2005,Canada,Vehicle loans,Under 35 years,All family units,Dollars,12113
2012,Canada,Vehicle loans,Under 35 years,All family units,Dollars,16999
1999,Canada,Vehicle loans,35 to 44 years,All family units,Dollars,11745
2005,Canada,Vehicle loans,35 to 44 years,All family units,Dollars,14286
2012,Canada,Vehicle loans,35 to 44 years,All family units,Dollars,19345
1999,Canada,Vehicle loans,45 to 54 years,All family units,Dollars,8754
2005,Canada,Vehicle loans,45 to 54 years,All family units,Dollars,15330
2012,Canada,Vehicle loans,45 to 54 years,All family units,Dollars,18718
1999,Canada,Vehicle loans,55 to 64 years,All family units,Dollars,3710
2005,Canada,Vehicle loans,55 to 64 years,All family units,Dollars,7590
2012,Canada,Vehicle loans,55 to 64 years,All family units,Dollars,13978
1999,Canada,Vehicle loans,65 years and older,All family units,Dollars,1658
2005,Canada,Vehicle loans,65 years and older,All family units,Dollars,3120
2012,Canada,Vehicle loans,65 years and older,All family units,Dollars,6775
1999,Canada,Other debt,All ages,All family units,Dollars,24096
2005,Canada,Other debt,All ages,All family units,Dollars,31909
2012,Canada,Other debt,All ages,All family units,Dollars,22908
1999,Canada,Other debt,Under 65 years,All family units,Dollars,23031
2005,Canada,Other debt,Under 65 years,All family units,Dollars,30155
2012,Canada,Other debt,Under 65 years,All family units,Dollars,20506
1999,Canada,Other debt,Under 35 years,All family units,Dollars,5399
2005,Canada,Other debt,Under 35 years,All family units,Dollars,7863
2012,Canada,Other debt,Under 35 years,All family units,Dollars,4165
1999,Canada,Other debt,35 to 44 years,All family units,Dollars,8090
2005,Canada,Other debt,35 to 44 years,All family units,Dollars,9266
2012,Canada,Other debt,35 to 44 years,All family units,Dollars,6108
1999,Canada,Other debt,45 to 54 years,All family units,Dollars,6645
2005,Canada,Other debt,45 to 54 years,All family units,Dollars,9570
2012,Canada,Other debt,45 to 54 years,All family units,Dollars,4452
1999,Canada,Other debt,55 to 64 years,All family units,Dollars,2896
2005,Canada,Other debt,55 to 64 years,All family units,Dollars,3455
2012,Canada,Other debt,55 to 64 years,All family units,Dollars,F
1999,Canada,Other debt,65 years and older,All family units,Dollars,1065
2005,Canada,Other debt,65 years and older,All family units,Dollars,F
2012,Canada,Other debt,65 years and older,All family units,Dollars,2402
1999,Canada,Net Worth (assets less debts),All ages,All family units,Dollars,3903014
0001,Canada,Net Worth (assets less debts),All ages,All family units,Dollars,5530509
2012,Canada,Net Worth (assets less debts),All ages,All family units,Dollars,8073585
1999,Canada,Net Worth (assets less debts),Under 65 years,All family units,Dollars,2936167
1999,Canada,Net Worth (assets less debts),Under 35 years,All family units,Dollars,309022
2005,Canada,Net Worth (assets less debts),Under 35 years,All family units,Dollars,293393
2012,Canada,Net Worth (assets less debts),Under 35 years,All family units,Dollars,523943
1999,Canada,Net Worth (assets less debts),35 to 44 years,All family units,Dollars,763841
2005,Canada,Net Worth (assets less debts),35 to 44 years,All family units,Dollars,1008070
2012,Canada,Net Worth (assets less debts),35 to 44 years,All family units,Dollars,1056173
1999,Canada,Net Worth (assets less debts),45 to 54 years,All family units,Dollars,1010672
2005,Canada,Net Worth (assets less debts),45 to 54 years,All family units,Dollars,1471477
2012,Canada,Net Worth (assets less debts),45 to 54 years,All family units,Dollars,2014041
1999,Canada,Net Worth (assets less debts),55 to 64 years,All family units,Dollars,852631
2005,Canada,Net Worth (assets less debts),55 to 64 years,All family units,Dollars,1430926
2012,Canada,Net Worth (assets less debts),55 to 64 years,All family units,Dollars,2298198
1999,Canada,Net Worth (assets less debts),65 years and older,All family units,Dollars,966847
2005,Canada,Net Worth (assets less debts),65 years and older,All family units,Dollars,1326644
2012,Canada,Net Worth (assets less debts),65 years and older,All family units,Dollars,2181230
